cluster	tablet	objectId	signs
18	150827	P257532	AN BA EN~a GUM~b KISAL~b1 KU6 LAGAB~b SZAM2 SZE~a TE UR2
18	151214	P270809	BA LAGAB~b SZAM2 SZE~a TE
18	151297	P464273	BA GESZTU~c GI GIBIL KI LAGAB~b SZAM2 SZE~a TE U4
19	150895	P411604	A AB~a AN BAHAR2~b BULUG3 BU~a GIBIL GU7 KISAL~b1 KU6~a MUD NA2~a NAM~a NA~a NIN NUNUZ~a1 SZE~a SZUBUR TAR~a U4 ZATU694 ZATU788
19	150904	P411621	ABGAL AB~a AN BULUG3 EN~a ERIN GU7 N NUMUN NUNUZ~a1 NUN~a SAL SZAB~b SZE~a SZU TAR~a U4 UR5~a URI3~a ZATU788
19	152338	P006303	AN BIR3~b EZEN~a GU7 NAGA~a NUNUZ~a1 SIG7 SU~a SZE~a SZU TAR~a U4 UR5~a
20	151106	P006429	DA~a DU EN~a EZEN~b GURUSZ~a SAG URUDU~a USZ~a ZATU651 ZATU697~a
20	152786	P005476	DA~a DU EN~a EZEN~b GURUSZ~a SAG URUDU~a USZ~a ZATU651 ZATU697~a
20	154511	P004040	BA DA~a EN~a EZEN~c GISZIMMAR~b1 HI SZITA~b1 USZ~a
21	151421	P002420	AN APIN~a BA DUG~a EN~a GI HI KI PA~a SI SZE~a U4
21	152700	P005385	AN EN~a GAL~a GI GU IB~a KASZ~c KI NA~a PAP~a PA~a SANGA~a SZE~a
21	152705	P005390	BA DIM~a DU6~a GAL~a GI GU GU7 HI KA~a NA~a SANGA~a SUM~b SZE~a ZATU703
22	151560	P003768	A AN BU~a E2~a GA2~a2 GU4 HI IR11 KISAL~b1 ME~a MU NAR NINDA2 NUN~a SZE3 SZE~a U4 UDUNITA~a UTUL~a
22	151736	P003685	A AN E2~a HI ME~a NAR NINDA2 NUN~a SZE3 UDU~a URI3~a
22	152911	P003515	A AN BA DU E2~a ERIN GIR3~c HI ME~a NAR NINDA2 NUN~a SZE3 UDU~a
23	151641	P003206	GAN2 RAD~a
23	152847	P002695	AN EN~a GAN2 GIR3~c ISZ~b KI KIB NIR~a NUN~a SAR~a SZA3~a1 SZESZ~a SZU2
23	154263	P005027	AN GAN2 SZU2
24	152397	P005078	AN EN~a GAN2 GI ME~a PA~a SUG5 SZE~a SZU ZATU633~a
24	152419	P005100	BA KAB NAM2 SAG SANGA~a SZAM2 SZE~a SZU
24	152422	P005103	AN EN~a KA~a NAM2 NAM~d PAP~a SAG SZE~a SZU
25	153302	P001234	EN~a KUSZU2~b NUN~a SZAB~a SZU2 U4 UDU~a
25	153313	P001245	GI SZU2 U4 UDU~a
25	154234	P002548	ADAB AN DUG~b KAB SZE3 SZU2 UDU~a
26	148579	P001797	E2~a EN~a GISZ SAR~b SZAB~a SZU2~b
26	154289	P003424	A E2~a EN~a KALAM~b KISAL~b1 MUN~a1 TUR U2~b
27	148739	P002092	A APIN~a BA DA~a DIM~a EN~a GAL~a GAN~c GI6 HI NIM~a NUN~a SILA3~a SZITA~a3 SZU2 URI3~a
27	148741	P002094	A APIN~a BA GAL~a LA2 LAM~b NIM~a NUN~a SILA3~a SZITA~a1 SZU SZU2 URI3~a
28	148745	P002099	A AN EN~a MUD SAG SIG TE
28	152639	P005324	A AN BA EN~a MUD MUSZ3~a NINDA2 RU SAG TE
29	148896	P002499	LU2 MUD
29	148949	P005049	LU2
30	148936	P002895	AN GAL~a GAN~c MA ME~a SI SZAM2 SZU UB
30	152258	P006231	AL AN KASZ~c KA~a MA SAGSZU SI SZITA~a1 SZU
31	149031	P003511	AB~b AN BA BAR BU~a DU6~a DUG~a DUG~c DUR2 EN~a EZEN~b GI GU7 ME~a MUSZ3~a PIRIG~b1 SAL U4 ZATU686~a ZATU751~a
