signI	signJ	{measureName}
2(N01)	TE	79.69184697076963
SI	SZE~a	79.59330125570142
4(N01)	BU~a	79.46924178928114
NUN~a	U4	79.27303614385606
1(N01)	DUB~a	79.17237098819285
A	DU	79.09188385019546
3(N14)	5(N14)	79.02703058020913
BU~a	GI	79.00867616223472
1(N57)	SZE~a	78.9715021213202
SZU	U4	78.90773555425919
2(N14)	A	78.83710704519602
AB~a	SZE~a	78.72562631052695
4(N01)	E2~a	78.68531968020676
3(N57)	DU	78.67043808861015
5(N14)	EN~a	78.43230938622246
2(N14)	PA~a	78.27249526954289
1(N01)	NUNUZ~a1	78.25238609305654
1(N01)	MASZ2	78.15286033416018
4(N01)	A	78.1030059092074
2(N14)	3(N57)	77.94058784007
EN~a	RU	77.64261873264473
EN~a	MUSZEN	77.6024403169752
AN	ME~a	77.5921349415624
5(N01)	SZU	77.33781042559598
1(N34)	UDU~a	77.33069614805942
2(N14)	SANGA~a	77.3285552897854
1(N14)	MASZ	77.3073690916231
3(N01)	NI~a	77.13472640356578
BAR	U4	76.9759527074982
3(N01)	AB~a	76.96947423196599
GAL~a	U4	76.892926799892
3(N14)	U4	76.88591670756468
BU~a	GAL~a	76.77065402047803
1(N01)	1(N58)	76.70634172824633
1(N01)	SIG2~b	76.67944266548346
6(N01)	UDU~a	76.3601416464101
5(N01)	5(N14)	76.20798003585209
EN~a	GA~a	76.1791011559037
2(N01)	DA~a	75.98905538889714
2(N14)	SZU	75.7098023615941
1(N34)	BA	75.69491461929584
BAR	EN~a	75.59554885816678
2(N34)	3(N14)	75.5893329356166
E2~a	U4	75.57950263526357
E2~a	SZU	75.34774710473071
1(N14)	NI~a	75.31086384454512
5(N01)	BAR	75.30474191589654
3(N01)	9(N01)	75.18001678970927
DU	SAL	75.11738726008211
AB~a	AN	75.10611381271941
DU	SZU	74.94193256123016
2(N01)	GA~a	74.93817337645795
SANGA~a	U4	74.92413533438004
NUN~a	PAP~a	74.85502755846694
1(N14)	TUR	74.67872345100635
4(N01)	SANGA~a	74.61692195626972
NI~a	RU	74.60062609423927
1(N01)	KASZ~c	74.56897531792728
A	SZU	74.5160475104422
E2~a	GI	74.51289303100383
3(N01)	HI	74.42415172890897
1(N57)	3(N14)	74.39556933774008
1(N01)	GI6	74.37944248640964
1(N01)	SILA3~a	74.36105999465096
GI	SZU	74.3461346532372
BA	SZU	74.34276132160038
A	E2~a	74.32081824685879
3(N01)	TUR	74.31635339517425
2(N14)	BU~a	74.2734371808861
3(N14)	8(N01)	74.24585558961152
3(N14)	PAP~a	74.23214654333793
1(N14)	1(N24)	74.12704806395982
1(N57)	AN	74.08262694810045
4(N01)	5(N14)	74.05177557403167
1(N34)	AN	73.91312262266491
GAL~a	ME~a	73.72953677879072
5(N01)	A	73.71785103858437
1(N24)	2(N01)	73.7032527454938
AN	SZU2	73.69403008457279
A	U4	73.65222141759166
2(N01)	TUG2~a	73.65079589086062
HI	NUN~a	73.58455371982312
1(N14)	DUG~a	73.44116936308367
BU~a	SANGA~a	73.32477738451155
1(N14)	1(N45)	73.29611228740238
1(N01)	2(N34)	73.26277231984295
AB~a	GAL~a	73.08190779118294
KUR~a	SAL	72.90066288865788
BAR	SAL	72.89118117142321
DU	GI	72.8319802879377
2(N14)	NAM2	72.78336451432887
4(N01)	DU	72.76694622797238
2(N14)	GAR	72.58417390904818
3(N57)	A	72.4015665110425
1(N01)	GADA~a	72.39797708887434
BU~a	NUN~a	72.30002380904475
PAP~a	PA~a	72.28989856002852
EN~a	NE~a	72.21206280047164
1(N34)	8(N01)	72.17738093498708
2(N01)	IB~a	72.160713278381
1(N57)	3(N57)	72.11892462303213
GA~a	ZATU753	72.07649404204919
NAM2	SAL	72.05920169841319
BU~a	KI	71.93531896604301
1(N14)	DA~a	71.88252893118317
A	BA	71.77949631561044
1(N14)	MUSZEN	71.74531204813243
EN~a	RAD~a	71.72633198371098
1(N34)	GI	71.68408785999189
KI	SZE~a	71.56865920208548
1(N14)	RU	71.51479716027967
1(N01)	UMUN2	71.48976744665092
GAL~a	GA~a	71.45510116731218
HI	PAP~a	71.40898207326404
1(N14)	UD5~a	71.15261002563349
1(N14)	U8	71.11020100742917
2(N01)	ERIM~a	71.10313412606901
SAG	SZE~a	70.99102365830292
1(N14)	NE~a	70.95712041578824
1(N01)	1(N39~a)	70.87212562455998
KI	PAP~a	70.86248619433336
3(N14)	AN	70.81386249589733
3(N14)	GI	70.77480218644024
DU	SANGA~a	70.7637515653319
E2~a	NUN~a	70.63261816843402
5(N01)	SANGA~a	70.57123180932884
2(N01)	GU7	70.46770305438693
6(N01)	U4	70.40640976610067
