signI	signJ	{measureName}
GAL~a	SAL	85.0662640393031
NUN~a	U4	85.06295583133023
NUN~a	SANGA~a	85.02367150972339
GI	SAL	84.81774317213171
3(N01)	ME~a	84.80726777330717
EN~a	SZITA~a1	84.62697699837175
2(N01)	KUR~a	84.50038431673038
AN	SAG	84.39591913815639
5(N01)	E2~a	84.37824058070177
3(N01)	SZU2	84.16983080897747
A	SAL	84.0975520894168
BU~a	GI	84.04047954764451
1(N57)	PAP~a	83.89943383405239
1(N01)	U8	83.70050097815711
E2~a	SAL	83.62088107971252
3(N57)	GI	83.55202910762605
SI	SZE~a	83.46877805426588
PAP~a	SI	83.17805889981112
SZU	U4	82.85299188260201
2(N01)	RU	82.74375217095245
5(N01)	NUN~a	82.38800610964225
2(N14)	E2~a	82.37364197079752
BA	PAP~a	82.21412153067882
1(N01)	AMAR	82.17297266262392
3(N14)	BA	82.08541188509113
3(N14)	UDU~a	81.94684652900905
2(N01)	MUSZ3~a	81.7612387735362
6(N01)	8(N01)	81.62444440669101
3(N57)	SANGA~a	81.62087531329772
1(N34)	U4	81.49067375533234
4(N01)	NUN~a	81.42609233265752
A	DU	81.414358223346
E2~a	GI	81.29389041115641
BAR	U4	81.25814196668857
1(N01)	2(N57)	81.23378315463313
6(N01)	BA	81.23017482077756
1(N57)	SZE~a	81.21948816786977
1(N34)	1(N57)	81.15571790166713
E2~a	U4	81.11697576126467
AB~a	SZE~a	80.82565510956715
1(N01)	KAB	80.74293119543393
3(N14)	5(N14)	80.68410606733435
3(N57)	5(N01)	80.68390929725962
AN	ME~a	80.6755978598489
3(N01)	KU6~a	80.65299163617121
2(N01)	MUSZEN	80.64335983616003
2(N01)	DUG~a	80.59935469092386
2(N01)	UD5~a	80.5700656482117
GAL~a	U4	80.55349474923001
A	U4	80.54599405636709
BU~a	GAL~a	80.39474823852501
2(N01)	TE	80.3600994304677
EN~a	MUSZEN	80.31981540372729
EN~a	RU	80.23339931031957
4(N01)	E2~a	80.21669666507326
A	E2~a	80.18784158031615
4(N01)	BU~a	79.86785330092454
1(N01)	DUB~a	79.82713083580443
1(N14)	MASZ	79.80376547992897
2(N14)	A	79.77192738355471
3(N57)	DU	79.68794775472001
HI	NUN~a	79.66995527976881
4(N01)	A	79.53826889966011
1(N01)	MASZ2	79.47844704592858
BU~a	NUN~a	79.38469803725185
5(N14)	EN~a	79.10180957235359
2(N14)	PA~a	79.07601780179907
1(N01)	NUNUZ~a1	78.78876374231116
EN~a	GA~a	78.69300130021043
2(N14)	3(N57)	78.61035076627371
3(N14)	U4	78.3397321497458
1(N01)	1(N58)	78.31862639420974
5(N01)	SZU	78.30104753531691
2(N14)	SANGA~a	78.15352136041022
E2~a	SZU	78.110971282763
NUN~a	PAP~a	78.10705852421492
1(N34)	UDU~a	77.84074163913128
3(N01)	NI~a	77.83509489747767
GI	SZU	77.64582701141876
A	SZU	77.60601526956893
DU	SZU	77.53211004551788
3(N01)	AB~a	77.50497585085253
1(N34)	BA	77.3301226831401
BA	SZU	77.31769833767787
SANGA~a	U4	77.26963596883543
AB~a	AN	77.1910053380533
BAR	EN~a	77.0592753197374
1(N01)	SIG2~b	76.93229394408205
NI~a	RU	76.91941665665738
5(N01)	5(N14)	76.85090705653855
2(N01)	DA~a	76.63206030504404
6(N01)	UDU~a	76.62894451908228
5(N01)	BAR	76.56264714291657
2(N14)	SZU	76.46927740070318
2(N34)	3(N14)	76.44049595182348
1(N57)	AN	76.27377719396003
BU~a	HI	76.22923819824976
GAL~a	ME~a	76.19549570360682
DU	SAL	76.08680943614777
GA~a	ZATU753	76.03915037993615
AN	SZU2	76.02435481080282
1(N14)	NI~a	76.00788292551057
DU	GI	75.98949542053377
3(N01)	9(N01)	75.98196295255084
BU~a	SANGA~a	75.98100762137119
1(N14)	TUR	75.93725750138431
KUR~a	SAL	75.77116022492307
1(N57)	3(N14)	75.6663663006238
EN~a	NE~a	75.61388164430747
2(N01)	GA~a	75.44519542637154
AB~a	GAL~a	75.41269922642658
1(N34)	AN	75.38008275835475
3(N57)	A	75.37108239685206
E2~a	NUN~a	75.3330364861471
A	BA	75.33053432607805
4(N01)	SANGA~a	75.3250278346536
BU~a	KI	75.2927750457365
1(N01)	KASZ~c	75.2825066327662
1(N01)	SILA3~a	75.12525004902123
KI	SZE~a	75.06339184328613
