tablet	excavationNumbers
P000698	W 24219,1
P000699	W 24219,2
P000700	W 24222
P000701	W 24234
P000702	W 24243,1
P000703	W — ?
P000704	W — ?
P000705	W — HD 05
P000706	W — HD 06
P000707	W — HD 07
P000708	W — HD 08
P000709	W — HD 09
P000710	W — HD 10
P000711	W — HD 11
P000712	W — HD 12
P000713	Ashm 1928-445b
P000730	W 01872,1
P000731	W 01872,2
P000732	W 02134
P000733	W 02352
P000734	W 05233,a
P000735	W 05233,b
P000736	W 05233,c
P000737	W 05233,e
P000738	W 05233,f
P000739	W 05233,g
P000740	W 05353
P000741	W 05372
P000742	W 06066,a
P000743	W 06066,b
P000744	W 06108
P000745	W 06110
P000746	W 06111,a
P000747	W 06115
P000748	W 06150
P000749	W 06216,a
P000750	W 06216,b
P000751	W 06245,a
P000752	W 06245,b
P000756	W 06245,e
P000757	W 06252
P000758	W 06284
P000759	W 06288
P000760	W 06372
P000761	W 06375,a
P000762	W 06375,b
P000763	W 06375,c
P000764	W 06375,d
P000765	W 06375,e
P000766	W 06375,f + W 06572,a
P000767	W 06375,g
P000768	W 06426,a
P000769	W 06426,b
P000770	W 06502,a
P000771	W 06502,b
P000772	W 06502,c
P000773	W 06502,d
P000775	W 06502,f
P000776	W 06502,g
P000778	W 06572,b
P000779	W 06572,c
P000780	W 06572,d
P000781	W 06572,e
P000782	W 06572,f
P000783	W 06573,a
P000784	W 06573,b
P000785	W 06573,c
P000786	W 06584
P000787	W 06601
P000788	W 06604
P000789	W 06611
P000790	W 06612,a
P000791	W 06612,b
P000792	W 06612,c
P000802	W 06616
P000804	W 06705,a
P000805	W 06705,b
P000806	W 06705,c
P000807	W 06705,d
P000808	W 06705,e
P000809	W 06705,f
P000810	W 06705,g
P000811	W 06705,h
P000812	W 06708
P000813	W 06710,a
P000814	W 06710,b
P000815	W 06710,c
P000816	W 06710,d
P000817	W 06710,e
P000818	W 06711
P000819	W 06737
P000820	W 06738,a
P000821	W 06738,b
P000822	W 06738,c
P000823	W 06738,d
P000824	W 06738,e
P000825	W 06738,f
P000826	W 06738,g
P000827	W 06738,h
P000828	W 06741
P000829	W 06746
P000830	W 06748,a
P000831	W 06748,b
P000834	W 06756,c
P000835	W 06759
P000836	W 06760,a
P000837	W 06760,b
P000838	W 06760,c
P000839	W 06760,d
P000840	W 06760,e
P000841	W 06760,f
P000844	W 06786,d
P000846	W 06820
P000849	W 06855
P000850	W 06860
P000853	W 06881,c + W 06881,f
P000854	W 06881,d
P000855	W 06881,e
P000857	W 06881,g
P000858	W 06881,h1
P000859	W 06881,h2
P000860	W 06881,i
P000861	W 06881,j
P000862	W 06881,k
P000863	W 06881,l
P000864	W 06881,m
P000865	W 06881,n
P000866	W 06881,o1
P000867	W 06881,o2 + W 06881,ab
P000881	W 06882,a
P000882	W 06882,b1
P000883	W 06882,b2
P000884	W 06882,c
P000885	W 06882,d
P000886	W 06882,e + W 06882,k
P000887	W 06882,f
P000888	W 06882,g
P000890	W 06882,i
P000892	W 06882,l
P000893	W 06882,x1
P000894	W 06882,x2
P000895	W 06882,x3
P000896	W 06882,x4
P000897	W 06882,x5
P000898	W 06882,x6
P000900	W 06883,b
P000903	W 06883,h
P000907	W 06883,n
P000908	W 06883,o1
P000909	W 06883,o2
P000910	W 06883,r
P000911	W 06883,s
P000912	W 06883,t1
P000914	W 06883,v
P000915	W 06883,y
P000916	W 06883,aa
P000917	W 06883,ab
P000919	W 06884
P000920	W 06940,a
P000921	W 06940,b
P000922	W 06940,c
P000924	W 06966,b
P000925	W 06984,a
P000926	W 06984,b
P000927	W 07000
P000928	W 07024
P000931	W 07067,b
P000933	W 07067,d
P000934	W 07067,e
P000936	W 07067,h
P000937	W 07067,i
P000938	W 07068,a
P000939	W 07068,b
P000943	W 07092,e
P000945	W 07092,g
P000947	W 07092,i
P000950	W 07092,l2
P000953	W 07092,p
P000955	W 07204,b
P000958	W 07227,a
P000959	W 07227,b
P000960	W 07227,c
P000961	W 07227,d
P000962	W 07227,e
P000963	W 07227,f
P000964	W 07227,g
P000965	W 07227,h
P000966	W 07227,i
P000967	W 07227,k
P000968	W 07227,l
P000969	W 07227,m
P000977	W 07272,h
P000978	W 07272,i
P000981	W 07298
P000982	W 07329,a
P000983	W 07329,b + W 07329,c
P000985	W 07343,1
P000986	W 07343,2
P000988	W 07406
P000989	W 07717
P000990	W 07880
P000991	W 07881
P000993	W 07883
P000995	W 08063
P000996	W 08273
P000997	W 08274
P000998	W 08405
P000999	W 08406
P001000	W 08618
P001001	W 08751
P001002	W 09070
P001003	W 09071,a
P001004	W 09071,b
P001005	W 09071,c
P001006	W 09071,d1
P001007	W 09071,d2
P001008	W 09071,e
P001009	W 09071,f
P001010	W 09071,g
P001011	W 09071,h
P001018	W 09071,p
P001019	W 09071,q
P001020	W 09071,r
P001021	W 09123,a1
P001022	W 09123,a2
P001023	W 09123,b
P001024	W 09123,c
P001025	W 09123,e
P001026	W 09123,f + W 09312,p
P001028	W 09123,h
