sign1	sign2	closeness
GI	PAP~a	 103.32
4(N01)	UDU~a	 103.18
6(N01)	EN~a	 103.16
2(N01)	5(N14)	 102.84
2(N14)	PAP~a	 102.68
5(N01)	PAP~a	 102.13
1(N01)	DI	 102.10
EN~a	KU6~a	 101.94
1(N01)	GU7	 101.84
1(N01)	KISAL~b1	 101.80
AN	BA	 101.48
2(N01)	TUR	 101.27
5(N01)	8(N01)	 101.18
GAL~a	NAM2	 100.72
5(N01)	BA	 100.72
EN~a	TUR	 100.54
EN~a	TE	 100.40
1(N01)	TUR3~a	 100.40
3(N01)	E2~a	 100.24
1(N14)	ME~a	 100.10
1(N01)	UD5~a	  99.96
2(N01)	9(N01)	  99.93
BU~a	SZE~a	  99.81
1(N01)	UNUG~a	  99.56
A	BU~a	  99.42
2(N14)	2(N34)	  99.21
AN	KI	  99.17
EN~a	IB~a	  99.05
SAL	U4	  98.81
AN	GI	  98.77
1(N57)	BAR	  98.27
BA	U4	  97.57
1(N01)	GA2~a1	  97.41
3(N57)	E2~a	  97.31
3(N01)	5(N14)	  97.25
1(N01)	DUG~a	  97.04
3(N57)	SAL	  96.98
1(N01)	1(N24)	  96.98
2(N01)	HI	  96.90
4(N01)	GI	  96.77
4(N01)	SAL	  96.29
1(N57)	SAL	  96.23
5(N01)	GI	  96.20
GI	U4	  96.02
A	SZE~a	  95.86
1(N14)	NAM2	  95.81
2(N01)	GAR	  95.78
1(N45)	SZE~a	  95.52
1(N14)	BAR	  95.24
1(N34)	2(N34)	  95.21
A	PAP~a	  95.17
1(N14)	SI	  95.06
5(N01)	7(N01)	  94.73
3(N57)	U4	  94.62
1(N34)	SZE~a	  94.56
1(N01)	ZATU753	  94.48
1(N14)	AB~a	  94.47
1(N01)	GU4	  94.38
4(N01)	PAP~a	  94.31
1(N34)	6(N01)	  94.19
3(N57)	SZE~a	  94.06
2(N14)	8(N01)	  94.03
1(N01)	URU~a1	  93.98
1(N57)	BA	  93.95
4(N01)	8(N01)	  93.54
3(N01)	BAR	  93.54
PA~a	SZE~a	  93.35
SZE~a	SZU	  93.29
5(N14)	SZE~a	  93.18
AN	GAL~a	  93.16
1(N01)	U2~b	  93.05
2(N14)	5(N14)	  92.92
1(N01)	SZA	  92.88
3(N57)	BU~a	  92.87
AN	E2~a	  92.84
1(N01)	ERIM~a	  92.60
3(N14)	6(N01)	  92.26
1(N01)	1(N08)	  92.22
SAL	SZE~a	  91.86
SAL	SZU	  91.69
1(N01)	E2~b	  91.65
1(N01)	NAGA~a	  91.03
1(N01)	SUKKAL	  90.87
4(N14)	EN~a	  90.86
BU~a	SAL	  90.68
4(N01)	7(N01)	  90.64
3(N01)	PA~a	  90.33
1(N01)	MA	  90.00
EN~a	SZUBUR	  89.97
1(N14)	HI	  89.59
5(N01)	GAL~a	  89.50
1(N01)	ERIN	  89.49
1(N01)	UB	  89.37
2(N01)	SZITA~a1	  89.28
1(N14)	SAG	  89.27
3(N57)	AN	  89.25
AN	HI	  89.08
3(N01)	SI	  88.94
BU~a	NAM2	  88.75
SAL	SANGA~a	  88.64
GAL~a	SZE~a	  88.47
SANGA~a	SZE~a	  88.22
2(N14)	NUN~a	  87.94
3(N01)	SAG	  87.68
AN	DU	  87.45
2(N01)	NE~a	  87.41
A	GI	  87.14
DU	SZE~a	  87.08
3(N57)	4(N01)	  87.07
AN	SANGA~a	  86.94
4(N01)	SZU	  86.83
2(N14)	GAL~a	  86.71
GAL~a	NUN~a	  86.10
3(N57)	SZU	  86.00
1(N01)	SZE3	  85.97
4(N14)	SZE~a	  85.96
NAM2	PAP~a	  85.92
E2~a	PAP~a	  85.92
1(N01)	PIRIG~b1	  85.87
PAP~a	SANGA~a	  85.76
2(N01)	SZUBUR	  85.72
BU~a	DU	  85.62
GAL~a	SZITA~a1	  85.52
E2~a	SZE~a	  85.37
1(N57)	UDU~a	  85.26
2(N01)	MASZ	  85.03
BU~a	E2~a	  84.96
U4	UDU~a	  84.94
NAM2	PA~a	  84.85
1(N34)	5(N14)	  84.59
BA	UDU~a	  84.48
3(N01)	NAM2	  84.32
3(N01)	ME~a	  84.25
3(N01)	KI	  84.04
BU~a	U4	  84.03
3(N01)	SZU2	  83.55
5(N01)	E2~a	  83.26
AN	SI	  82.91
GAL~a	SAL	  82.80
BU~a	SZU	  82.76
2(N01)	KUR~a	  82.54
NUN~a	SANGA~a	  82.54
EN~a	SZITA~a1	  82.30
1(N01)	U8	  82.18
GI	SAL	  82.14
5(N01)	NUN~a	  81.90
2(N01)	RU	  81.83
2(N14)	E2~a	  81.77
PAP~a	SI	  81.37
3(N14)	BA	  81.29
3(N14)	UDU~a	  81.26
AN	SAG	  81.24
GAL~a	SZU	  81.12
