excavationNumbers	tablets
W 09579,cf	P001329
W 09579,cg	P001330
W 09579,ch	P001331
W 09579,ci	P001332
W 09579,ck	P001333
W 09579,cl	P001334
W 09579,cm	P001335
W 09579,cn	P001336
W 09579,co	P001337
W 09579,cp	P001338
W 09579,cq	P001339
W 09579,cr	P001340
W 09579,cs	P001341
W 09579,ct	P001342
W 09579,cu	P001343
W 09579,cv	P001344
W 09579,cw	P001345
W 09579,cx	P001346
W 09579,cy	P001347
W 09579,cz	P001348
W 09579,d	P001252
W 09579,da	P001349
W 09579,db	P001350
W 09579,dc	P001351
W 09579,dd	P001352
W 09579,de	P001353
W 09579,df	P001354
W 09579,dg	P001355
W 09579,dh	P001356
W 09579,di	P001357
W 09579,dk	P001358
W 09579,dl	P001359
W 09579,dm	P001360
W 09579,dn	P001361
W 09579,do	P001362
W 09579,dp	P001363
W 09579,dq	P001364
W 09579,dr	P001365
W 09579,ds	P001366
W 09579,dt	P001367
W 09579,du	P001368
W 09579,dv	P001369
W 09579,dw	P001370
W 09579,dx	P001371
W 09579,dy	P001372
W 09579,dz	P001373
W 09579,e	P001253
W 09579,f	P001254
W 09579,g	P001255
W 09579,h	P001256
W 09579,i	P001257
W 09579,k	P001258
W 09579,l	P001259
W 09579,m	P001260
W 09579,n	P001261
W 09579,o	P001262
W 09579,p	P001263
W 09579,q	P001264
W 09579,r	P001265
W 09579,s	P001266
W 09579,t	P001267
W 09579,u	P001268
W 09579,v	P001269
W 09579,w	P001270
W 09579,x	P001271
W 09579,y	P001272
W 09579,z	P001273
W 09655,a	P001374
W 09655,aa	P001399
W 09655,ab	P001400
W 09655,ac	P001401
W 09655,ad	P001402
W 09655,ae	P001403
W 09655,ag	P001405
W 09655,ah	P001406
W 09655,ai	P001407
W 09655,ak	P001408
W 09655,al	P001409
W 09655,am	P001410
W 09655,an	P001411
W 09655,ao	P001412
W 09655,ap	P001413
W 09655,aq	P001414
W 09655,ar	P001415
W 09655,as	P001416
W 09655,b	P001375
W 09655,c	P001376
W 09655,cq	P001417
W 09655,d + W 09655,dh	P001377
W 09655,e	P001378
W 09655,f	P001379
W 09655,g	P001380
W 09655,h	P001381
W 09655,i	P001382
W 09655,k	P001383
W 09655,l	P001384
W 09655,m	P001385
W 09655,o	P001387
W 09655,p	P001388
W 09655,q	P001389
W 09655,r	P001390
W 09655,s	P001391
W 09655,t	P001392
W 09655,u	P001393
W 09655,v	P001394
W 09655,w	P001395
W 09655,x	P001396
W 09655,y	P001397
W 09655,z	P001398
W 09656,?	P001680
W 09656,a1	P001418
W 09656,a2	P001419
W 09656,aa	P001443
W 09656,ab	P001444
W 09656,ac	P001445
W 09656,ad	P001446
W 09656,ae	P001447
W 09656,af	P001448
W 09656,ag	P001449
W 09656,ah	P001450
W 09656,ai	P001451
W 09656,ak	P001452
W 09656,al	P001453
W 09656,am	P001454
W 09656,ao	P001456
W 09656,aq	P001458
W 09656,ar	P001459
W 09656,as	P001460
W 09656,at	P001461
W 09656,au	P001462
W 09656,av	P001463
W 09656,aw	P001464
W 09656,ax	P001465
W 09656,ay	P001466
W 09656,az	P001467
W 09656,b	P001420
W 09656,ba	P001468
W 09656,bb	P001469
W 09656,bd	P001471
W 09656,be	P001472
W 09656,bf	P001473
W 09656,bg	P001474
W 09656,bh	P001475
W 09656,bi	P001476
W 09656,bk	P001477
W 09656,bl + W 09656,dx	P001478
W 09656,bm	P001479
W 09656,bn	P001480
W 09656,bo	P001481
W 09656,bp	P001482
W 09656,bq	P001483
W 09656,br	P001484
W 09656,bs	P001485
W 09656,bt	P001486
W 09656,bu	P001487
W 09656,bv	P001488
W 09656,bw	P001489
W 09656,bx	P001490
W 09656,by	P001491
W 09656,bz + W 09656,fl	P001492
W 09656,c	P001421
W 09656,ca	P001493
W 09656,cb	P001494
W 09656,cc	P001495
W 09656,cd	P001496
W 09656,ce	P001497
W 09656,cf	P001498
W 09656,cg	P001499
W 09656,ch	P001500
W 09656,ci	P001501
W 09656,ck	P001502
W 09656,cl	P001503
W 09656,cm	P001504
W 09656,cn	P001505
W 09656,co	P001506
W 09656,cp1	P001507
W 09656,cp2	P001508
W 09656,cq	P001509
W 09656,cr	P001510
W 09656,cs	P001511
W 09656,ct	P001512
W 09656,cu	P001513
W 09656,cv	P001514
W 09656,cw	P001515
W 09656,cx	P001516
W 09656,cy	P001517
W 09656,cz	P001518
W 09656,d	P001422
W 09656,da	P001519
W 09656,db	P001520
W 09656,dc	P001521
W 09656,dd	P001522
W 09656,de	P001523
W 09656,df	P001524
W 09656,dg1	P001525
W 09656,dg2	P001526
W 09656,di	P001528
W 09656,dk	P001529
W 09656,dl	P001530
W 09656,dm	P001531
W 09656,dn	P001532
W 09656,do	P001533
W 09656,dp	P001534
W 09656,dq	P001535
W 09656,dr	P001536
W 09656,ds	P001537
W 09656,dt	P001538
W 09656,du	P001539
W 09656,dw	P001541
W 09656,dy	P001543
W 09656,dz	P001544
W 09656,ef	P001550
W 09656,eg	P001551
W 09656,eh	P001552
W 09656,ei	P001553
W 09656,ek	P001554
W 09656,el	P001555
W 09656,em	P001556
W 09656,en1	P001557
W 09656,en2	P001558
W 09656,eo	P001559
W 09656,ep	P001560
W 09656,eq	P001561
W 09656,er	P001562
W 09656,es	P001563
W 09656,et	P001564
W 09656,eu	P001565
W 09656,ev	P001566
W 09656,ew	P001567
W 09656,ex	P001568
W 09656,ey	P001569
W 09656,ez	P001570
W 09656,f	P001424
W 09656,fa	P001571
W 09656,fb	P001572
W 09656,fc	P001573
W 09656,fd	P001574
W 09656,fe	P001575
W 09656,ff	P001576
W 09656,fg	P001577
W 09656,fh	P001578
W 09656,fk	P001580
W 09656,fm	P001582
W 09656,fn	P001583
W 09656,fo	P001584
W 09656,fp	P001585
W 09656,fq	P001586
W 09656,fr	P001587
W 09656,fs	P001588
W 09656,ft	P001589
W 09656,fu	P001590
W 09656,fv	P001591
W 09656,fw	P001592
W 09656,fx	P001593
W 09656,fy	P001594
W 09656,fz	P001595
W 09656,g	P001425
W 09656,ga	P001596
W 09656,gb	P001597
W 09656,gc	P001598
W 09656,gd	P001599
W 09656,ge	P001600
W 09656,gf	P001601
W 09656,gg	P001602
W 09656,gh	P001603
W 09656,gi	P001604
W 09656,gk	P001605
W 09656,gl	P001606
W 09656,gm	P001607
W 09656,gn	P001608
W 09656,go	P001609
W 09656,gp	P001610
W 09656,gq	P001611
W 09656,gr	P001612
W 09656,gs	P001613
W 09656,gt	P001614
W 09656,gu	P001615
W 09656,gw	P001617
W 09656,gx	P001618
W 09656,gy	P001619
W 09656,gz	P001620
W 09656,h1	P000006
W 09656,h2	P001426
W 09656,ha1	P001621
W 09656,ha2	P001622
W 09656,hb	P001623
W 09656,hc	P001624
W 09656,hd	P001625
W 09656,he	P001626
W 09656,hf	P001627
W 09656,hg1	P001628
W 09656,hg2	P001629
W 09656,hh	P001630
W 09656,hi	P001631
W 09656,hk	P001632
W 09656,hl	P001633
W 09656,hn1	P001635
W 09656,hn2	P001636
W 09656,ho	P001637
W 09656,hs	P001641
W 09656,ht	P001642
W 09656,hv	P001643
W 09656,hw	P001644
W 09656,hx	P001645
W 09656,hy	P001646
W 09656,hz	P001647
W 09656,i	P001427
W 09656,ia	P001648
W 09656,ib1	P001649
W 09656,ib2	P001650
W 09656,ic	P001651
W 09656,ie1	P001653
W 09656,ie2	P001654
W 09656,if1	P001655
W 09656,if2	P001656
W 09656,ig	P001657
W 09656,ih	P001658
W 09656,ii	P001659
W 09656,ik	P001660
W 09656,il	P001661
W 09656,im1	P001662
W 09656,im2	P001663
W 09656,in	P001664
W 09656,io	P001665
W 09656,ip	P001666
W 09656,iq	P001667
W 09656,ir	P001668
W 09656,is	P001669
W 09656,it	P001670
W 09656,iu	P001671
W 09656,iv	P001672
W 09656,ix	P001673
W 09656,iy	P001674
W 09656,iz	P001675
W 09656,k	P001428
W 09656,ka	P001676
W 09656,kb	P001677
W 09656,kc	P001678
W 09656,km	P001679
W 09656,l	P001429
W 09656,n1	P001431
W 09656,n2	P001432
W 09656,o	P001433
W 09656,p	P001434
W 09656,q	P001435
W 09656,r + W 09656,ry	P001436
W 09656,s	P001437
W 09656,t	P001438
W 09656,v	P001439
W 09656,w	P001440
W 09656,x	P000007
W 09656,z	P001442
W 09761,a	P001681
W 09761,b	P001682
W 09762	P001683
W 09827	P001684
W 09850	P001685
W 09851	P001686
W 10133,a	P001692
W 10133,b	P001693
W 10133,c	P001694
W 10133,d	P001695
W 10133,e	P001696
W 10133,f	P001697
W 10187,a	P001698
W 10187,b	P001699
W 10187,c + W 16351	P001700
W 10187,d + W 16243	P001701
W 10564	P001687
W 10581	P001688
W 10585	P001702
W 10590,h	P001703
W 10593	P001704
W 10594 + W 10599 + W 10600	P001705
W 10595	P001706
W 10597	P001708
W 10598 + W 10605 + W 10630	P001709
W 10601	P001712
W 10602	P001713
W 10603	P001714
W 10604 + W 10606	P001715
W 10608	P001719
W 10609	P001720
W 10610	P001721
W 10611	P001722
W 10612	P001723
W 10613,a1	P001724
W 10613,a2	P001725
W 10613,b1	P001726
W 10613,b2	P001727
W 10613,c	P001728
W 10613,d1	P001729
W 10613,d2	P001730
W 10613,e1	P001731
W 10613,e2	P001732
W 10613,f	P001733
W 10613,g	P001734
W 10614 + W 10615	P001735
W 10616	P001737
W 10617	P001738
W 10618,a	P001739
W 10619	P001741
W 10620	P001742
W 10621	P001743
W 10622	P001744
W 10623	P001745
W 10624	P001746
W 10625,a + W 10625,b + W 10625,c + W 10625,d + W 10626	P001747
W 10627	P001752
W 10628	P001753
W 10629	P001754
W 10631	P001756
W 10632	P001757
W 10731	P001759
W 10736	P001760
W 10753	P001761
W 10797	P001762
W 10798	P001763
W 10802	P001764
W 10803,a	P001765
W 10803,b + W 10803,c + W 10803,d	P001766
W 10804	P001769
W 10824	P001770
W 10825	P001771
W 10846	P001772
W 10929	P001773
W 10931	P001774
W 10967,a	P001775
W 10967,b	P001776
W 10992	P001777
W 10993	P001778
W 11040	P001779
W 11137	P001780
W 11167,b	P001781
W 11167,c	P001782
W 11167,d	P001783
W 11167,e	P001784
W 11167,f	P001785
W 11167,g	P001786
W 11167,h	P001787
W 11791 + W 11792	P001788
W 11793	P001790
W 11802	P001794
W 11803	P001795
W 11804	P001796
W 11896,a + W 11896,b	P001797
W 11931,a	P001799
W 11931,c	P001801
W 11931,d	P001802
W 11931,e	P001803
W 11982	P001804
W 11983,a + W 11983,b + W 11983,c	P001805
W 11983,d	P001808
W 11984,a	P001810
W 11984,b	P001811
W 11984,c	P001812
W 11984,e	P001814
W 11984,h	P001816
W 11985,a	P001818
W 11985,b	P001819
W 11985,c	P001820
W 11985,d	P001821
W 11985,e	P000008
W 11985,f	P000009
W 11985,g	P000010
W 11986,a	P000011
W 11986,b	P001822
W 11986,c	P000012
W 11986,d	P001823
W 11988,c	P001826
W 11988,d	P000013
W 12011	P001827
W 12013	P001828
W 12015	P001829
W 12016	P001830
W 12017	P001831
W 12119,a + W 12119,b	P001832
W 12120	P001834
W 12121	P001835
W 12122	P001836
W 12123	P001837
W 12124,a + W 12124,b	P001838
