excavationNumbers	tablets
W 19408,61	P003097
W 19408,62	P003098
W 19408,63a	P003099
W 19408,63b	P003100
W 19408,63c	P003101
W 19408,63d	P003102
W 19408,64	P003103
W 19408,65	P003104
W 19408,66	P003105
W 19408,67 + W 19408,82	P003106
W 19408,68	P003107
W 19408,69	P003108
W 19408,70a	P003109
W 19408,70c	P003111
W 19408,70d	P003112
W 19408,71	P003113
W 19408,72	P003114
W 19408,73	P003115
W 19408,74	P003116
W 19408,76 + 70b + frags.	P003118
W 19408,77a	P003119
W 19408,77b	P003120
W 19408,78a	P003121
W 19408,78b	P003122
W 19408,79a	P003123
W 19408,80	P003126
W 19408,81a	P003127
W 19408,81b	P003128
W 19408,82a	P003129
W 19408,82b	P003130
W 19408,83	P003131
W 19408,85	P003133
W 19408,86	P003134
W 19408,87	P003135
W 19408,88	P003136
W 19408,89	P003137
W 19408,90	P003138
W 19408,91	P003139
W 19408,92	P003140
W 19410,01	P003141
W 19410,02	P003142
W 19410,03	P003143
W 19410,04	P003144
W 19410,05	P003145
W 19410,06	P003146
W 19410,08a	P003148
W 19410,08b	P003149
W 19410,09	P003150
W 19410,10	P003151
W 19410,11	P003152
W 19410,12a	P003153
W 19410,12b	P003154
W 19411,8	P003155
W 19412,02	P003156
W 19412,03	P003157
W 19412,04	P003158
W 19412,05	P003159
W 19412,06	P003160
W 19412,07	P003161
W 19412,08	P000166
W 19412,09	P003162
W 19412,10	P003163
W 19412,11a	P003164
W 19412,11b	P003165
W 19412,11c	P003166
W 19412,11d	P003167
W 19413,01	P003168
W 19413,02	P003169
W 19413,03	P003170
W 19413,04	P003171
W 19413,05	P003172
W 19413,06	P003173
W 19413,07	P003174
W 19413,08	P003175
W 19413,09	P003176
W 19413,10	P003177
W 19415,1	P003180
W 19415,2	P003181
W 19416,a	P003182
W 19416,b	P003183
W 19417,a	P003184
W 19417,b	P003185
W 19418,k	P003186
W 19419	P003187
W 19422,a	P003190
W 19422,b1	P003191
W 19422,b2 + W 19422,b3 + frag.	P003192
W 19437	P003194
W 19449	P003195
W 19466,a	P003196
W 19466,b	P003197
W 19466,c	P003198
W 19530,a	P003199
W 19530,b	P003200
W 19531	P003201
W 19532,a	P003202
W 19532,b	P003203
W 19548,a + W 19548,b	P000167
W 19567,a	P003205
W 19567,b	P003206
W 19567,c	P003207
W 19567,d	P003208
W 19567,e	P003209
W 19567,g	P003211
W 19567,h	P003212
W 19567,i	P003213
W 19567,j	P003214
W 19567,k	P003215
W 19568,a	P003216
W 19568,b	P003217
W 19568,c	P003218
W 19568,d	P003219
W 19568,e	P003220
W 19568,f	P003221
W 19568,g	P003222
W 19568,h	P003223
W 19568,i	P003224
W 19568,j	P003225
W 19568,k	P003226
W 19568,l	P003227
W 19568,m	P003228
W 19568,n	P003229
W 19577,a	P003230
W 19577,b +W 19577,i	P003231
W 19577,c + W 19584,f	P003232
W 19577,d	P003233
W 19577,e	P003234
W 19577,f	P003235
W 19577,g	P003236
W 19577,h	P003237
W 19577,j + W 19577,k + W 19577,l + W 19577,m +W 19577, n + W 19577,p	P003239
W 19577,o	P003244
W 19577,q	P003246
W 19578,a	P003247
W 19578,b	P003248
W 19584,a	P003249
W 19584,b	P003250
W 19584,c	P003251
W 19584,d	P003252
W 19584,e	P003253
W 19584,g	P003255
W 19584,h	P003256
W 19584,i	P003257
W 19591,a	P003261
W 19591,b	P003262
W 19592,a	P003263
W 19592,b	P003264
W 19592,c	P003265
W 19592,d	P003266
W 19592,e	P003267
W 19592,f	P003268
W 19592,g	P003269
W 19592,h	P003270
W 19592,i	P003271
W 19592,j	P003272
W 19592,k	P003273
W 19592,l	P003274
W 19592,m	P003275
W 19592,n	P003276
W 19592,o	P003277
W 19592,p	P003278
W 19592,q	P003279
W 19592,r	P003280
W 19592,s	P003281
W 19592,u	P003282
W 19592,w	P003283
W 19597	P003284
W 19621	P003285
W 19635,a	P003286
W 19635,b	P003287
W 19636	P003288
W 19637	P003289
W 19638	P003290
W 19639,a	P003291
W 19639,b	P003292
W 19639,c	P003293
W 19640,a	P000169
W 19640,b	P003294
W 19641	P003295
W 19642	P003296
W 19665,a	P003297
W 19665,b	P003298
W 19665,c	P003299
W 19666,a	P003300
W 19666,b	P003301
W 19666,c	P003302
W 19666,d	P003303
W 19666,e	P003304
W 19666,f	P000170
W 19666,g	P003305
W 19666,h	P003306
W 19667,a	P003307
W 19667,b	P003308
W 19667,c	P003309
W 19667,d	P003310
W 19667,e	P000171
W 19667,f	P003311
W 19667,g	P003312
W 19668,a	P003313
W 19668,b	P003314
W 19668,c	P000172
W 19668,d	P003315
W 19669	P003316
W 19670	P003317
W 19671	P003318
W 19684,a	P003319
W 19684,b	P003320
W 19685	P003321
W 19686	P003322
W 19687	P003323
W 19688	P003324
W 19689,a	P003325
W 19689,b	P003326
W 19690	P003327
W 19724	P000173
W 19725	P003329
W 19726,a	P003330
W 19726,b	P000174
W 19726,c	P000175
W 19726,d	P003331
W 19726,e	P003332
W 19726,f	P003333
W 19727	P003334
W 19728,a	P003335
W 19728,b	P003336
W 19737,b	P003337
W 19737,d	P003338
W 19740,h	P003339
W 19766	P003340
W 19768,a	P003341
W 19771,a	P003342
W 19771,b	P000176
W 19771,c	P000177
W 19771,d	P000178
W 19771,e	P000179
W 19771,f	P000180
W 19771,g +W 19771,l	P000181
W 19771,h	P000182
W 19771,i	P000183
W 19771,j + W 19771,k	P000184
W 19771,m + W 19772,j	P000187
W 19771,n	P000188
W 19771,o	P000189
W 19771,p	P000190
W 19772,a	P003343
W 19772,b	P003344
W 19772,c	P000191
W 19772,d	P003345
W 19772,e	P003346
W 19772,f + W 19772,g	P003347
W 19772,h + W 19785,a	P003349
W 19772,i	P003350
W 19780	P000193
W 19781	P003351
W 19784	P003352
W 19785,b	P000194
W 19796	P003354
W 19799	P003355
W 19851,a	P003356
W 19851,b + W 19948,28	P003357
W 19948,01	P003358
W 19948,02	P003359
W 19948,03	P003360
W 19948,04	P003361
W 19948,05	P003362
W 19948,06	P003363
W 19948,07	P003364
W 19948,08	P000195
W 19948,09	P000196
W 19948,10	P000197
W 19948,11	P003365
W 19948,12	P003366
W 19948,13	P003367
W 19948,14	P003368
W 19948,15	P003369
W 19948,16	P003370
W 19948,17	P003371
W 19948,18	P003372
W 19948,19	P003373
W 19948,20	P000198
W 19948,21	P003374
W 19948,22	P000199
W 19948,23	P000200
W 19948,24 + W 19948,36	P000201
W 19948,25	P003375
W 19948,26	P003376
W 19948,27	P003377
W 19948,29	P000202
W 19948,30a	P000203
W 19948,30b	P000204
W 19948,31	P003379
W 19948,32	P000205
W 19948,33	P000206
W 19948,34	P000207
W 19948,35	P000208
W 19948,37	P003380
W 19948,39	P000210
W 19948,40	P000211
W 19948,41	P000212
W 19948,42	P000213
W 19948,43a	P000214
W 19948,43b	P000215
W 19948,44	P000216
W 19948,45	P000217
W 19948,46	P000218
W 19948,47	P000219
W 19948,48	P000220
W 19948,49	P000221
W 19948,50	P000222
W 19948,51	P003381
W 19948,52	P003382
W 19948,53	P003383
W 19948,54	P003384
W 19948,55	P003385
W 19948,56	P003386
W 19948,57	P000223
W 19948,58	P003387
W 19948,59	P003388
W 19948,60	P003389
W 19948,61	P003390
W 19948,62	P003391
W 19948,63	P003392
W 19948,64	P003393
W 19948,65	P003394
W 19948,66	P003395
W 19948,67	P003396
W 19948,68	P000224
W 19948,69	P003397
W 19948,70	P003398
W 19948,72	P003399
W 19948,73	P003400
W 20034,b	P003401
W 20044,01	P003402
W 20044,02	P003403
W 20044,03	P003404
W 20044,04	P003405
W 20044,05	P003406
W 20044,06	P003407
W 20044,07	P003408
W 20044,08	P003409
W 20044,09	P003410
W 20044,10	P003411
W 20044,11	P003412
W 20044,12	P003413
W 20044,13	P003414
W 20044,14	P003415
W 20044,15	P003416
W 20044,16	P003417
W 20044,17	P003418
W 20044,18	P003419
W 20044,19	P003420
W 20044,20	P003421
W 20044,21	P003422
W 20044,22	P003423
W 20044,23	P003424
W 20044,24	P003425
W 20044,25	P003426
W 20044,26	P003427
W 20044,27	P003428
W 20044,28	P003429
W 20044,29	P003430
W 20044,30	P003431
W 20044,31	P003432
W 20044,32	P003433
W 20044,33	P003434
W 20044,34	P003435
W 20044,35	P003436
W 20044,36	P003437
W 20044,37	P003438
W 20044,38	P003439
W 20044,39	P003440
W 20044,40	P003441
W 20044,41	P003442
W 20044,42	P003443
W 20044,43	P003444
W 20044,44a	P003445
W 20044,44b	P003446
W 20044,44c	P003447
W 20044,44d	P003448
W 20044,44e	P003449
W 20044,44f	P003450
W 20044,44g	P003451
W 20044,44h	P003452
W 20044,45	P000225
W 20044,46 + W 20044,55	P000226
W 20044,47	P000227
W 20044,48	P003453
W 20044,49	P003454
W 20044,50	P003455
W 20044,51	P003456
W 20044,52	P003457
W 20044,53	P003458
W 20044,54	P003459
W 20044,56	P003460
W 20044,57	P003461
W 20044,58	P003462
W 20044,59	P003463
W 20044,60	P003464
W 20044,61	P003465
W 20050,a	P003466
W 20213,4a	P000229
W 20213,4b	P000230
W 20213,4c	P000231
W 20213,4d	P000232
W 20213,4e	P003467
W 20214,1	P003468
W 20214,2	P003469
W 20214,3	P003470
W 20214,4 + W 20214,6 + W 20214,7	P003471
W 20214,5	P003472
W 20214,8	P003475
W 20214,9	P003476
W 20223	P003477
W 20233,1	P003478
W 20233,2	P003479
W 20234	P000233
W 20235,1	P000234
W 20235,2	P000235
W 20236,1	P003480
W 20236,2	P003481
W 20237	P003482
W 20238	P003483
W 20239	P003484
W 20240	P003485
W 20241	P003486
W 20242	P003487
W 20243,1	P003488
W 20243,3	P003490
W 20244	P003491
W 20245	P003492
W 20246,1	P003493
W 20246,2	P003494
W 20246,3	P003495
W 20246,4	P000236
W 20247,1 + W 20247,2 + W 20247,3	P000237
W 20258,1 + W 20258,3	P000240
W 20258,2	P000241
W 20258,4	P000243
W 20258,5	P000244
W 20258,6	P000245
W 20258,7	P000246
W 20266,001	P000247
W 20266,002	P000248
W 20266,003	P000249
W 20266,004	P000250
W 20266,005	P000251
W 20266,006	P000252
W 20266,007	P000253
W 20266,008	P000254
W 20266,009	P000255
W 20266,010	P000256
W 20266,011	P000257
W 20266,012	P000258
W 20266,013	P000259
W 20266,014	P000260
W 20266,015	P000261
W 20266,016	P000262
W 20266,017	P000263
W 20266,018	P000264
W 20266,019	P000265
W 20266,020	P000266
W 20266,021	P000267
W 20266,022	P000268
W 20266,023	P000269
W 20266,024	P000270
W 20266,025	P000271
W 20266,026	P000272
W 20266,027	P000273
W 20266,028	P000274
W 20266,029	P000275
W 20266,030	P000276
W 20266,031	P000277
W 20266,032	P000278
W 20266,033	P000279
W 20266,034	P000280
W 20266,035	P000281
W 20266,036	P000282
W 20266,037	P000283
W 20266,038	P000284
W 20266,039	P000285
W 20266,040	P000286
W 20266,041	P000287
W 20266,042	P000288
W 20266,043	P000289
W 20266,044	P000290
W 20266,045	P000291
W 20266,046	P000292
W 20266,047	P000293
W 20266,048	P000294
W 20266,049	P000295
W 20266,050	P000296
W 20266,051	P000297
W 20266,052	P000298
W 20266,053	P000299
W 20266,054	P000300
W 20266,055	P000301
W 20266,056	P000302
W 20266,057	P000303
W 20266,058	P000304
W 20266,059	P000305
W 20266,060 + W 20266,061	P000306
W 20266,062	P000308
W 20266,063	P000309
W 20266,064	P000310
W 20266,065	P000311
W 20266,066	P000312
W 20266,067	P000313
W 20266,068	P000314
W 20266,069	P000315
W 20266,070	P000316
W 20266,071	P000317
W 20266,072	P000318
W 20266,073	P000319
W 20266,074	P000320
W 20266,075	P000321
W 20266,076	P000322
W 20266,077	P000323
W 20266,078	P000324
W 20266,079	P000325
W 20266,080	P000326
W 20266,081	P000327
W 20266,082	P000328
W 20266,083	P000329
W 20266,084	P000330
W 20266,085	P000331
W 20266,086	P000332
W 20266,087	P000333
W 20266,088	P000334
W 20266,089	P000335
W 20266,090	P000336
W 20266,091	P000337
W 20266,092	P000338
W 20266,093	P000339
W 20266,094	P000340
W 20266,095	P000341
W 20266,096	P000342
W 20266,097	P000343
W 20266,098	P000344
W 20266,099	P000345
W 20266,100	P000346
W 20266,101	P000347
W 20266,102	P000348
W 20266,104	P000349
W 20266,105	P000350
W 20266,106	P000351
W 20266,107	P000352
W 20266,108	P000353
W 20266,109	P000354
W 20266,110	P000355
W 20266,111	P000356
W 20266,112	P000357
W 20266,113	P000358
W 20266,114	P000359
W 20266,115	P000360
W 20266,116	P000361
W 20266,117	P000362
W 20266,118	P000363
W 20266,119	P000364
W 20266,120	P000365
W 20266,121	P000366
W 20266,122	P000367
W 20266,123	P000368
W 20266,124	P000369
W 20266,125	P000370
W 20266,126	P000371
W 20266,127	P000372
W 20266,128	P000373
W 20266,129	P000374
W 20266,130	P000375
W 20266,131	P000376
W 20266,132	P000377
W 20266,133	P000378
W 20266,134	P000379
W 20266,135	P000380
W 20266,136	P000381
W 20266,137	P000382
W 20266,138	P000383
W 20266,139	P000384
W 20266,140	P000385
W 20266,141	P000386
W 20266,142	P000387
W 20266,143	P000388
W 20266,144	P000389
W 20266,145	P000390
W 20266,146	P000391
W 20266,147	P000392
W 20266,148	P000393
W 20266,149	P000394
W 20266,150	P000395
W 20266,151	P000396
W 20266,152	P000397
W 20266,153	P000398
W 20266,154	P000399
W 20266,155	P000400
W 20266,156	P000401
W 20266,157	P000402
W 20266,158	P000403
W 20266,159	P000404
W 20266,160	P000405
W 20266,161	P000406
W 20266,162	P000407
W 20266,163	P000408
W 20266,164	P000409
W 20266,165	P003496
W 20266,166	P003497
W 20266,167	P003498
W 20266,168	P000410
W 20266,169	P000411
W 20266,171	P000412
W 20266,172	P000413
W 20266,173	P000414
W 20266,174	P000415
W 20266,175	P000416
W 20266,176	P000417
W 20266,177	P000418
W 20266,178	P000419
W 20266,179	P000420
W 20266,180	P000421
W 20266,181	P000422
W 20266,182	P000423
W 20266,183	P000424
W 20266,184	P000425
W 20266,185	P000426
W 20266,186	P000427
W 20266,187	P000428
W 20266,188	P000429
W 20274,001	P003499
W 20274,002	P003500
W 20274,003	P003501
W 20274,004	P003502
W 20274,005	P003503
W 20274,006	P003504
W 20274,007	P003505
W 20274,008	P003506
W 20274,009	P003507
W 20274,010	P003508
W 20274,011	P003509
W 20274,012	P003510
W 20274,013	P003511
W 20274,014	P003512
W 20274,015	P003513
W 20274,016	P003514
W 20274,017	P003515
W 20274,018	P003516
W 20274,019	P003517
W 20274,020	P003518
W 20274,021	P003519
W 20274,022	P003520
W 20274,023	P003521
W 20274,024	P003522
W 20274,025	P003523
W 20274,026	P003524
W 20274,027	P003525
W 20274,028	P003526
W 20274,029	P003527
W 20274,030	P003528
W 20274,031	P003529
W 20274,032	P003530
W 20274,033	P003531
W 20274,034	P003532
W 20274,035	P003533
W 20274,036	P003534
W 20274,037	P003535
W 20274,038	P003536
W 20274,039	P003537
W 20274,040	P003538
W 20274,041	P003539
W 20274,042	P003540
W 20274,043	P003541
W 20274,044	P003542
W 20274,045	P003543
W 20274,046	P003544
W 20274,047	P003545
W 20274,048	P003546
W 20274,049	P003547
W 20274,050	P003548
W 20274,051	P003549
W 20274,052	P003550
W 20274,053	P003551
W 20274,054	P003552
W 20274,055	P003553
W 20274,056	P003554
W 20274,057	P003555
W 20274,058	P003556
W 20274,059	P003557
W 20274,060	P003558
W 20274,061	P003559
W 20274,062 + W 20274,108	P003560
W 20274,063	P003561
W 20274,064	P003562
W 20274,065	P003563
W 20274,066	P003564
W 20274,067	P003565
W 20274,068	P003566
W 20274,069	P003567
W 20274,070	P003568
W 20274,071	P003569
W 20274,072	P003570
W 20274,073	P003571
W 20274,074	P003572
W 20274,075	P003573
W 20274,076	P003574
W 20274,077	P003575
W 20274,078	P003576
W 20274,079	P003577
W 20274,080 + W 20274,127 + W 20274,136	P003578
W 20274,081	P003579
W 20274,082	P003580
W 20274,083	P003581
W 20274,084	P003582
W 20274,085	P003583
W 20274,086	P003584
W 20274,087	P003585
W 20274,088	P003586
W 20274,089	P003587
W 20274,090	P003588
W 20274,091	P003589
W 20274,092	P003590
W 20274,093	P003591
W 20274,094	P003592
W 20274,095	P003593
W 20274,096	P003594
W 20274,097	P003595
W 20274,098	P003596
W 20274,099	P003597
W 20274,100	P003598
W 20274,101	P003599
W 20274,102	P003600
W 20274,103	P003601
W 20274,104	P003602
W 20274,105	P003603
W 20274,106	P003604
W 20274,107	P003605
W 20274,109	P003607
W 20274,110	P003608
W 20274,111	P003609
W 20274,112	P003610
W 20274,113	P003611
W 20274,114	P003612
W 20274,115	P003613
W 20274,116	P003614
W 20274,117	P003615
W 20274,118	P003616
W 20274,119	P003617
W 20274,120	P003618
W 20274,121	P003619
W 20274,122	P003620
W 20274,123	P003621
W 20274,124	P003622
W 20274,125	P003623
W 20274,126	P003624
W 20274,128	P003626
W 20274,129	P003627
W 20274,130	P003628
W 20274,131	P003629
W 20274,132	P003630
W 20274,133	P003631
W 20274,134	P003632
W 20274,135	P003633
W 20274,137	P003635
W 20274,138	P003636
W 20274,139	P003637
W 20274,140	P003638
W 20274,141	P003639
W 20274,142	P003640
W 20274,143	P003641
W 20274,144	P003642
W 20274,145	P003643
W 20274,146	P003644
W 20274,147	P003645
W 20274,148	P003646
W 20274,149	P003647
W 20274,150	P003648
W 20274,151	P003649
W 20274,152	P003650
W 20274,153	P003651
W 20274,154	P000430
W 20274,155	P003652
W 20274,156	P003653
W 20327,01	P003654
W 20327,02	P000431
W 20327,03	P003655
W 20327,04	P003656
W 20327,05	P003657
W 20327,06	P003658
W 20327,07	P003659
W 20327,08	P003660
W 20327,09	P003661
W 20327,10	P003662
W 20327,11	P003663
W 20327,12	P003664
W 20327,13	P003665
W 20327,14	P003666
W 20327,15	P003667
W 20327,16	P003668
W 20327,17	P003669
W 20327,18	P003670
W 20335,1	P000432
W 20335,10	P003673
W 20335,11	P003674
W 20335,2 + W 20335,4 + W 20335,7 + W 20335,9	P000433
W 20335,3	P000434
W 20335,5	P003671
W 20335,6	P003672
W 20335,8	P000437
W 20363	P000439
W 20364,1 + W 20364,2	P003675
W 20366,1	P000440
W 20366,2 + W 20366,5	P000441
W 20366,3	P000442
W 20366,4	P000443
W 20367,01	P003677
W 20367,02	P003678
W 20367,03	P003679
W 20367,04	P003680
W 20367,05	P003681
W 20367,06	P003682
W 20367,07	P003683
W 20367,08	P003684
W 20367,09	P003685
W 20367,10	P003686
W 20367,11a	P003687
W 20367,11b	P003688
W 20367,11c	P003689
W 20367,11d	P003690
W 20367,11e	P003691
W 20367,11f	P003692
W 20368,1	P003693
W 20368,2	P003694
W 20369,1	P003695
W 20369,2	P003696
W 20370	P003697
W 20371	P000445
W 20372	P003698
W 20373	P003699
W 20374	P003700
W 20385,1	P003701
W 20385,2	P003702
W 20389,1 + W 20389,2	P000446
W 20419	P003703
W 20420	P003704
W 20421,1	P000448
W 20421,2	P000449
W 20422,1	P000450
W 20422,2	P003705
W 20423	P003706
W 20424	P003707
W 20493,01	P003708
W 20493,02	P003709
W 20493,03	P003710
W 20493,04	P003711
W 20493,05	P003712
W 20493,06 + W 20493,32	P003713
W 20493,07	P003714
W 20493,08	P003715
W 20493,09 + W 20493,35	P003716
W 20493,10	P003717
W 20493,11	P003718
W 20493,12 + W 20493,13 + frag	P003719
W 20493,14 + W 20493,25 + frag	P003721
W 20493,15	P003722
W 20493,16	P003723
W 20493,17	P003724
W 20493,18	P003725
W 20493,19	P003726
W 20493,20	P003727
W 20493,21 + W 20493,22	P000451
W 20493,23	P003728
W 20493,24	P003729
W 20493,26	P000453
W 20493,27	P003731
W 20493,28	P003732
W 20493,29 + W 20493,36	P003733
W 20493,30	P003734
W 20493,31	P003735
W 20493,33	P003737
W 20493,34	P003738
W 20493,37	P003741
W 20493,38	P003742
W 20493,39	P003743
W 20493,40	P003744
W 20493,41	P003745
W 20493,42	P003746
W 20493,43	P003747
W 20493,44	P003748
W 20493,45	P003749
W 20493,46	P003750
W 20493,47	P003751
W 20493,48	P003752
W 20493,49	P003753
W 20493,50	P003754
W 20493,51	P003755
W 20493,52	P003756
W 20493,53	P003757
W 20493,54	P003758
W 20493,55	P003759
W 20493,56	P003760
W 20494,01	P003761
W 20494,02	P003762
W 20494,03	P003763
W 20494,04	P003764
W 20494,05	P003765
W 20494,06	P003766
W 20494,07	P003767
W 20494,08 + W 20514,3	P003768
W 20494,09	P003769
W 20494,10	P003770
W 20494,11	P003771
W 20494,12	P003772
W 20494,13	P003773
W 20494,14	P000454
W 20494,15	P003774
W 20494,16	P003775
W 20494,17	P003776
W 20494,18	P003777
W 20494,19	P003778
W 20494,20	P003779
W 20494,21	P003780
W 20494,22	P003781
W 20494,23	P003782
W 20494,24	P003783
W 20494,25	P003784
W 20494,26	P003785
W 20494,27	P003786
W 20494,28	P003787
W 20494,29	P003788
W 20494,30	P003789
W 20494,31	P003790
W 20494,32	P003791
W 20494,33	P003792
W 20494,34	P003793
W 20494,35	P003794
W 20494,36	P003795
W 20494,37	P003796
W 20494,38	P003797
W 20495	P000455
W 20496,1	P003798
W 20496,2	P003799
W 20496,3	P003800
W 20497	P000456
W 20498	P003801
W 20499,1	P003802
W 20499,2	P003803
W 20500 + W 20500,b	P003804
W 20500,a	P003805
W 20511,01	P003807
W 20511,02	P003808
W 20511,03	P003809
W 20511,04	P003810
W 20511,05	P003811
W 20511,06	P003812
W 20511,07	P003813
W 20511,08	P003814
W 20511,09	P003815
W 20511,10	P003816
W 20511,11	P003817
W 20511,12	P003818
W 20511,13	P000457
W 20511,14	P003819
W 20511,15	P003820
W 20511,16	P003821
W 20511,17a	P003822
W 20511,17b	P003823
W 20511,18	P003824
W 20511,19	P003825
W 20511,20	P003826
W 20511,21	P003827
W 20511,22	P003828
W 20511,23	P003829
W 20511,24	P003830
W 20511,25	P003831
W 20511,26	P003832
W 20511,27	P003833
W 20511,28	P003834
W 20511,29	P003835
W 20511,30	P003836
W 20511,31	P003837
W 20511,32	P003838
W 20512	P003839
W 20513	P003840
W 20514,1	P006016
W 20514,2	P003842
W 20514,4	P000458
W 20514,5	P003844
W 20514,6	P003845
W 20514,7	P000459
W 20514,8	P003846
W 20515	P000460
W 20516	P003847
W 20517,1	P003848
W 20517,2a + W 20517,2b	P000461
W 20517,3	P000463
W 20517,4	P000464
W 20518,1	P003849
W 20518,2	P003850
W 20519	P003851
W 20520	P003852
W 20521,1	P000465
W 20521,2	P003853
W 20521,3	P000466
W 20522,01	P003854
W 20522,02	P003855
W 20522,03	P003856
W 20522,04	P003857
W 20522,05	P003858
W 20522,06	P003859
W 20522,07	P003860
W 20522,08	P003861
W 20522,09	P003862
W 20522,10	P003863
W 20522,11	P003864
W 20522,12	P003865
W 20522,13	P003866
W 20523,1	P003867
W 20523,2	P003868
W 20524	P000467
W 20525	P000468
W 20526	P000469
W 20546	P003892
W 20547	P003893
W 20548	P003894
W 20549,1	P003895
W 20550	P003896
W 20551,1	P003897
W 20551,2	P003898
W 20551,3	P003899
W 20551,4	P003900
W 20552,1	P003901
W 20552,2	P003902
W 20552,3	P003903
W 20552,4	P003904
W 20552,5	P000470
W 20552,6	P003905
W 20552,7	P003906
W 20552,8 + W 20593,02	P003907
W 20552,9	P003908
W 20563	P003909
W 20564	P000471
W 20565	P003910
W 20566	P003911
W 20567	P000472
W 20568	P003912
W 20569	P000473
W 20570,1	P003913
W 20570,2	P003914
W 20571,1	P003915
W 20571,2	P003916
W 20572,1	P000474
W 20572,2	P003917
W 20572,3	P003918
W 20572,4	P000475
W 20572,5	P000476
W 20573,1	P003919
W 20573,2	P003920
W 20573,3	P003921
W 20573,4	P003922
W 20593,03	P003930
W 20593,04	P003931
W 20593,05	P003932
W 20593,06	P003933
W 20593,07	P000477
W 20593,08	P000478
W 20593,09	P003934
W 20593,10	P003935
W 20593,11	P003936
W 20593,12	P003937
W 20593,13	P003938
W 20593,14	P003939
W 20593,15	P003940
W 20593,16	P003941
W 20593,17a	P003942
W 20593,17b	P000479
W 20594,1	P003961
W 20594,2	P003962
W 20594,3	P003963
W 20594,4	P003964
W 20595,1	P003965
W 20595,2	P003966
W 20595,3	P000480
W 20596,1	P003967
W 20596,2	P003968
W 20622	P003971
W 20623	P003972
W 20631,2	P003974
W 20632,2	P003975
W 20649	P003976
W 20650	P003977
W 20651	P003978
W 20652	P003979
W 20653	P003980
W 20654	P003981
W 20655,1	P003982
W 20655,2	P003983
W 20676,1	P003984
W 20676,2	P003985
W 20676,3	P003986
W 20676,4	P003987
W 20676,5	P003988
W 20676,6	P003989
W 20676,7	P003990
W 20676,8	P003991
W 20676,9a	P003992
W 20676,9b	P003993
W 20676,9c	P003994
W 20677	P003995
W 20678	P003996
W 20679	P003997
W 20680,1	P003999
W 20680,2	P004000
W 20680,3	P004001
W 20703	P004002
W 20704	P004003
W 20705	P004004
W 20706	P004005
W 20707	P004006
W 20708	P000481
W 20709	P004007
W 20710	P004008
W 20711	P000482
W 20712	P004009
W 20713,1	P000483
W 20713,2a	P004010
W 20713,2b	P004011
W 20714,1	P004012
W 20714,2	P004013
W 20714,3	P004014
W 20715,1	P004015
W 20715,2	P004016
W 20715,3	P004017
W 20715,4a	P004018
W 20715,4b	P004019
W 20716,4	P004020
W 20717,1	P004021
W 20717,2	P004022
W 20718,2	P004023
W 20718,3	P004024
W 20718,4	P004025
W 20718,5	P004026
W 20719,1	P004027
W 20719,2	P004028
W 20720	P004029
W 20721,1	P004030
W 20721,2	P004031
W 20736,6	P004032
W 20736,7	P004033
W 20736,8a	P004034
W 20736,8b	P004035
W 20737,1	P004036
W 20737,2	P004037
W 20738	P004038
W 20739	P004039
W 20740,1	P004040
W 20740,2	P004041
W 20740,3	P004042
W 20740,4	P004043
W 20740,5	P004044
W 20740,6	P004045
W 20740,7	P004046
W 20771	P004047
W 20772	P004048
W 20773	P004049
W 20774	P004050
W 20775	P004051
W 20776	P004052
W 20777	P004053
W 20778	P004054
W 20779,1	P004055
W 20779,2	P004056
W 20809,01	P004057
W 20809,02	P004058
W 20809,03	P004059
W 20809,04	P004060
W 20809,05	P004061
W 20809,06	P004062
W 20809,07	P004063
W 20809,08 + W 20809,09	P004064
W 20809,10	P004066
W 20809,11	P004067
W 20809,12	P004068
W 20809,13	P004069
W 20809,14	P004070
W 20809,15	P004071
W 20809,16	P004072
W 20809,17	P004073
W 20809,18	P004074
W 20809,19	P004075
W 20813	P004076
W 20817	P004077
W 20818	P004078
W 20820,1	P004079
W 20820,2	P004080
W 20820,3	P004081
W 20826	P004082
W 20831,1	P004083
W 20831,2	P004084
W 20831,3	P004085
W 20831,4	P004086
W 20831,5	P000484
W 20831,6	P004087
W 20831,7	P004088
W 20831,8	P004089
W 20835	P004090
W 20836	P004091
W 20847	P004092
W 20854	P004093
W 20857,2	P004095
W 20858	P004096
W 20859,1	P000485
W 20859,2	P004097
W 20859,3	P004098
W 20859,4	P004099
W 20859,5	P004100
W 20859,6	P000486
W 20859,7	P004101
W 20883	P004102
W 20887	P004103
W 20888	P004104
W 20889	P004105
W 20891,1	P004106
W 20891,3	P004107
W 20891,4	P004108
W 20900	P004109
W 20904	P004110
W 20906	P004111
W 20907,01	P004112
W 20907,02	P004113
W 20907,03	P004114
W 20907,04	P004115
W 20907,05	P004116
W 20907,06a	P004117
W 20907,06b	P004118
W 20907,06c	P004119
W 20907,07	P004120
W 20907,08	P004121
W 20907,09	P004122
W 20907,10	P004123
W 20907,11a	P004124
W 20907,11b	P004125
W 20907,12	P004126
W 20907,13	P004127
W 20909	P004128
W 20910	P004129
W 20911	P004130
W 20915	P004131
W 20916	P004132
W 20918	P004133
W 20920,1	P004134
W 20920,2 + W 21054,1	P004135
W 20920,3	P004136
W 20920,4	P004137
W 20920,5	P004138
W 20920,6	P004139
W 20920,7	P004140
W 20920,8	P004141
W 20921	P000487
