P006396	reverse	1	1. 1(N04) , NE~a UR5~a SZE~a 
P006396	reverse	1	2. 2(N41) , TUR X E2~b 
P006396	reverse	1	3. 1(N41) , SAL ZATU752 1(N04) , GU7 
P006396	reverse	1	4. 1(N19) 4(N04) , X [...] 
P006396	reverse	2	1.b2. 1(N46) 4(N41) 1(N26~b) 1(N28~b) 1(N30~c)? , 
P006396	reverse	2	1.b3. 1(N19) 4(N04) , LAGAB~b TE 
P006409	obverse	1	1. [...] TUN3~a [...] 1(N04) GI 
P006409	obverse	2	1. 1(N46) 1(N19)# [...] , BA# 
P382659	obverse	0	1.a. 4(N14) 3(N04)# , SZE~a GI 
P382659	obverse	0	1.b2. 1(N14) 3(N04) , 
P382659	obverse	0	7. 2(N19)# 4(N04) , SZEG9 
P382659	obverse	2	5.b. 2(N19) , 
P382659	obverse	2	7.b. 1(N19) , 
P382659	obverse	3	8. 2(N19) , E~a SZITA~a1 
P006420	obverse	1	2. 1(N36) 5(N19)# [...] 5(N04)#? , 
P006421	reverse	0	1. 8(N14) 2(N39~a) 1(N41) , SZE~a RU [...] 
P387734	obverse	1	1. 2(N45) 5(N19) 1(N04) , SZE~a 2(N57) SZU 
P387734	obverse	2	2. 6(N19) 1(N04) , LAGAB~b TE 
P270809	obverse	1	2. 3(N04) , 
P270809	obverse	1	3. 2(N19) 1(N04) , LAGAB~b TE# 
P006437	obverse	2	1.a. 5(N19) , 
P006437	obverse	2	2. 2(N19) 1(N04) , 
P006437	obverse	3	1.a. 4(N19) , 
P006437	obverse	3	1.b. 5(N04) , 
P464167	obverse	1	1.b. 1(N46)# 2(N14)# [...] 
P464167	reverse	2	1. , SZE~a 1(N46) 6(N14) 3(N01) 
P464168	obverse	2	5. 2(N19) , SZITA~a1 E~a 
P464169	obverse	1	1.b. 1(N19) 2(N04)# , 
P464169	obverse	1	2. 1(N19) 4(N04) , AB~a# 
P464169	reverse	0	2. 2(N19) 1(N04) , LAGAB~b TE 
P464169	reverse	2	1. [...] 2(N19) 4(N14) 3(N01) , SZE~a E~a KISAL~b1 SI4~f# 
P464170	obverse	1	2. 2(N19) 3(N57) , LAGAB~b TE 
P464170	obverse	1	3. 1(N19) 1(N04) 3(N57) 
P464170	obverse	1	4. 2(N19)# , E~a 
P464170	obverse	2	1. 3(N19) , LAGAB~b TE UDU~a SILA4~c# 
P464170	reverse	1	1. 6(N19) 1(N04) , LAGAB~b TE E~a 
P464170	reverse	1	2. 2(N19) 5(N14) , SZE~a LAGAB~b TE E~a |E2~ax1(N57)@t| 
P464170	reverse	2	1. [...] 1(N36) 3(N14) 1(N01) , SZE~a GIBIL E~a 
P464172	obverse	1	2. 2(N46) 7(N19) , 
P464173	obverse	1	2. 1(N19) 1(N04)# , 
P464173	reverse	1	1. 1(N19) 5(N14) , SZE~a 
P464174	obverse	1	3. 1(N19)# [...] NIN# KI# 
P464174	reverse	1	2. 3(N19) 1(N04) , 
P464174	reverse	2	1. 1(N45) 2(N19) , BA SZE~a 
P464175	reverse	1	2.c. 3(N04) 
P464175	reverse	1	3.a. [...] 3(N04) 
P464175	reverse	2	2. 1(N46)# 2(N19)# 1(N04) 
P464175	reverse	3	1. , E~a 1(N46) 1(N45) 2(N14) 1(N01) , SZE~a GIR3~c# [...] 
P464176	obverse	0	1.b. 1(N46) 
P464177	obverse	1	1. 1(N45) [...] 2(N19) 3(N04) , EN~a APIN~a TE LAGAB~b SZUBUR# KISAL~b1 [...] 
P464177	obverse	2	1. 2(N04) [...] ERIN#? 
P464177	obverse	2	2. 2(N04)# , X [...] 
P464177	obverse	2	3. 1(N04)# [...] 
P464177	obverse	2	4. 1(N04)# , E2~a# GI# NA~a# MUSZEN# 
P464177	reverse	0	1.a. 1(N45) 3(N19) 3(N04) , SZE~a 
P464177	reverse	0	1.b2. 6(N19) 4(N04) 
P464177	reverse	0	1.b3. 4(N19) 4(N04) , LAGAB~b TE 
P464180	obverse	1	1.b. 5(N19)# , 
P464180	obverse	1	2.b. 4(N19)# 1(N04) , 
P464180	reverse	1	2. 1(N46) 3(N19) 1(N04) , 
P464180	reverse	2	1. 1(N45) 1(N46) 2(N20) 1(N01) , EN~a PAP~a KISAL~b1 DU U4 GIBIL  |SIxKU~b1| SZE~a
P464181	obverse	0	4.a. 7(N19) , LA2 TE EN~a PAP~a PAP@t 
P464181	obverse	0	4.b. 3(N19) 2(N04) , |NUN~a+NAM2|# 
P464181	obverse	0	4.c1. 3(N19) 1(N04) , ZATU659# 
P464181	reverse	1	1.a. 5(N14) 2(N19)# [...] 
P464182	obverse	2	1.b. 3(N19) , 
